stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
25990,25990,Arapahoe at Village Center Station,Vehicles Travelling South,39.600301,-104.888555,,,0,33705,,1
33793,33793,Aspen Park,Vehicles Travelling North,39.541051,-105.298494,,,1,,,0
33740,33740,40th Ave & Airport Blvd-Gateway Park Station,Vehicles Travelling North,39.76983,-104.785452,,,1,,,0
26158,26158,Airport Blvd & 40th Ave PnR Gate E,Vehicles Travelling East,39.769651,-104.787109,,,0,33740,,1
26160,26160,Airport Blvd & 40th Ave PnR Gate G,Vehicles Travelling East,39.76965,-104.786449,,,0,33740,,1
34474,34474,40th Ave & Airport Blvd - Gateway Park Station Track 2,Vehicles Travelling West,39.769435,-104.787769,,,0,33740,,1
33808,33808,El Rancho,Vehicles Travelling North,39.700022,-105.331002,,,1,,,0
19962,19962,Hwy 287 & Jasper Rd,Vehicles Travelling North,40.053942,-105.102523,,,0,,,1
26262,26262,Highlands Ranch Town Center PnR Gate B,Vehicles Travelling Northwest,39.547191,-104.997556,,,0,33811,,1
33820,33820,Longmont,Vehicles Travelling North,40.149505,-105.103068,,,1,,,0
33832,33832,Nederland,Vehicles Travelling North,39.962279,-105.512878,,,1,,,0
18672,18672,Nine Mile Station Gate A,Vehicles Travelling Northeast,39.657547,-104.846283,,,0,33719,,1
26197,26197,Nine Mile Station Gate G,Vehicles Travelling Southwest,39.657911,-104.846298,,,0,33719,,1
18095,18095,Highway 119 & Niwot Rd PnR,Vehicles Travelling Southwest,40.101911,-105.177884,,,0,33816,,1
25443,25443,Yale Ave & Helena Way,Vehicles Travelling East,39.667117,-104.806787,,,0,33834,,1
33835,33835,Paradise Hills,Vehicles Travelling North,39.704446,-105.250268,,,1,,,0
33838,33838,Pinery,Vehicles Travelling North,39.457477,-104.756527,,,1,,,0
33175,33175,104th Ave & Revere St,Vehicles Travelling Southwest,39.885343,-104.842656,,,0,33786,,1
18671,18671,Alameda & Havana PnR,Vehicles Travelling West,39.712246,-104.864808,,,0,33790,,1
34655,34655,US 36 & McCaslin Station Gate B,Vehicles Travelling East,39.958161,-105.168151,,,0,34706,,1
34195,34195,US 36 & Table Mesa Station Gate A,Vehicles Travelling East,39.98578,-105.23454,,,0,33743,,1
26104,26104,Wagon Road PnR Gate D,Vehicles Travelling West,39.912483,-104.994614,,,0,33746,,1
26108,26108,Wagon Road PnR Gate H,Vehicles Travelling West,39.912274,-104.99353,,,0,33746,,1
33703,33703,30th / Downing Station,Vehicles Travelling North,39.758977,-104.973786,,,1,,,0
26178,26178,Englewood Station Gate F,Vehicles Travelling West,39.656131,-104.999399,,,0,33712,,1
26274,26274,I-25 & Broadway Station Gate A3,Vehicles Travelling West,39.70162,-104.989935,,,0,33686,,1
26285,26285,I-25 & Broadway Station Gate E1,Vehicles Travelling West,39.701608,-104.989741,,,0,33686,,1
26286,26286,I-25 & Broadway Station Gate E2,Vehicles Travelling West,39.701621,-104.989525,,,0,33686,,1
24430,24430,S Prince St & W Alamo Ave Gate F,Vehicles Travelling South,39.611393,-105.016295,,,0,33715,,1
24940,24940,Littleton / Mineral Station Gate B,Vehicles Travelling South,39.58095,-105.026104,,,0,33716,,1
26182,26182,Littleton / Mineral Station Gate D,Vehicles Travelling East,39.580822,-105.025656,,,0,33716,,1
