route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
0,SA,8690507,Union Station,0,   0  2,793219
0,SA,8690508,Union Station,0,   0 11,793225
0,SA,8690509,Union Station,0,   0  4,793225
0,SA,8690510,Union Station,0,   0  9,793209
0,SA,8690511,Union Station,0,   0  6,793219
0,SA,8690512,Union Station,0,   0  5,793214
0,SA,8690513,Union Station,0,   0  7,793219
0,SA,8690514,Union Station,0,   0  3,793219
0,SA,8690515,Union Station,0,   0  5,793219
0,SA,8690516,Union Station,0,   0  8,793219
0,SA,8690517,Union Station,0,   0  4,793225
0,SA,8690518,Union Station,0,   0  2,793225
0,SA,8690519,Union Station,0,   0  9,793219
0,SA,8690520,Union Station,0,   0  7,793219
0,SA,8690521,Union Station,0,   0  7,793219
0,SA,8690522,Union Station,0,   0  1,793219
0,SA,8690523,Union Station,0,   0  2,793225
0,SA,8690524,Union Station,0,   0  4,793225
0,SA,8690525,Union Station,0,   0  2,793225
0,SA,8690526,Union Station,0,   0  2,793225
0,SA,8690527,Union Station,0,   0 11,793225
0,SA,8690528,Union Station,0,   0 11,793225
0,SA,8690529,Union Station,0,   0  2,793223
0,SA,8690530,Union Station,0,   0  4,793209
0,SA,8690531,Union Station,0,   0  5,793219
0,SA,8690532,Union Station,0,   0  5,793219
0,SA,8690533,Union Station,0,   0  8,793219
0,SA,8690534,Union Station,0,   0  7,793223
0,SA,8690535,Union Station,0,   0 11,793224
0,SA,8690536,Union Station,0,   0  4,793223
0,SA,8690537,Union Station,0,   0  6,793225
0,SA,8690538,Union Station,0,   0  7,793225
0,SA,8690539,Union Station,0,   0  4,793219
0,SA,8690540,Union Station,0,   0  7,793209
0,SA,8690541,Union Station,0,   0  8,793219
0,SA,8690542,Union Station,0,   0  3,793219
0,SA,8690543,Union Station,0,   0  9,793219
0,SA,8690544,Union Station,0,   0  4,793225
0,SA,8690545,Union Station,0,   0 10,793223
0,SA,8690546,Union Station,0,   0  6,793225
0,SA,8690547,Union Station,0,   0 10,793220
0,SA,8690548,Union Station,0,   0  6,793225
0,SA,8690549,Union Station,0,   0  2,793225
0,SA,8690550,Union Station,0,   0 10,793225
0,SA,8690551,Union Station,0,   0 11,793225
0,SA,8690552,Union Station,0,   0  6,793225
0,SA,8690553,Union Station,0,   0  7,793214
0,SA,8690554,Union Station,0,   0  3,793223
0,SA,8690555,Union Station,0,   0  8,793225
0,SA,8690556,Union Station,0,   0 10,793219
0,SA,8690557,Union Station,0,   0  9,793223
0,SA,8690558,Union Station,0,   0  5,793219
0,SA,8690559,Union Station,0,   0  4,793225
0,SA,8690560,Union Station,0,   0  3,793214
0,SA,8690561,Union Station,0,   0 10,793219
0,SA,8690562,Union Station,0,   0  1,793219
0,SA,8690563,Union Station,0,   0  9,793230
0,SA,8690564,Union Station,0,   0  6,793225
0,SA,8690565,Union Station,0,   0  2,793225
0,SA,8690566,Union Station,0,   0  3,793219
0,SA,8690567,Union Station,0,   0  4,793220
0,SA,8690568,Union Station,0,   0 10,793219
0,SA,8690569,Union Station,0,   0  3,793226
0,SA,8690570,Union Station,0,   0  4,793225
0,SA,8690571,Union Station,0,   0  5,793224
0,SA,8690572,Union Station,0,   0  2,793219
0,SA,8690573,Union Station,0,   0  5,793219
0,SA,8690574,Union Station,0,   0  8,793219
0,SA,8690575,Union Station,0,   0 10,793219
0,SA,8690576,Union Station,0,   0  1,793219
0,SA,8690577,Union Station,0,   0 11,793225
0,SA,8690578,Union Station,0,   0  8,793224
0,SA,8690579,Union Station,0,   0  3,793209
0,SA,8690580,Union Station,0,   0  1,793225
0,SA,8690581,Union Station,0,   0  9,793219
0,SA,8690582,Union Station,0,   0  9,793219
0,SA,8690583,Union Station,0,   0  7,793219
0,SA,8690584,Union Station,0,   0  3,793219
0,SA,8690585,Union Station,0,   0  1,793219
0,SA,8690586,Highlands Ranch via Broadway Stn,1,   0  2,793240
0,SA,8690587,Englewood Station,1,   0  8,793234
0,SA,8690588,Highlands Ranch via Broadway Stn,1,   0  5,793238
0,SA,8690589,Highlands Ranch via Broadway Stn,1,   0  5,793240
0,SA,8690590,Englewood Station,1,   0  3,793232
0,SA,8690591,Englewood Station,1,   0  2,793234
0,SA,8690592,Englewood Station,1,   0  4,793234
0,SA,8690593,Englewood Station,1,   0 11,793234
0,SA,8690594,Highlands Ranch via Broadway Stn,1,   0  3,793240
0,SA,8690595,Highlands Ranch via Broadway Stn,1,   0 10,793240
0,SA,8690596,Broadway Stn,1,   0 11,793237
0,SA,8690597,Englewood Station,1,   0  6,793234
0,SA,8690598,Englewood Station,1,   0  2,793234
0,SA,8690599,Englewood Station,1,   0  4,793234
0,SA,8690600,Englewood Station,1,   0 11,793234
0,SA,8690601,Englewood Station,1,   0  6,793234
0,SA,8690602,Englewood Station,1,   0  2,793234
0,SA,8690603,Highlands Ranch via Broadway Stn,1,   0  6,793240
0,SA,8690604,Englewood Station,1,   0 11,793234
0,SA,8690605,Englewood Station,1,   0  7,793234
0,SA,8690606,Broadway Stn,1,   0  5,793237
0,SA,8690607,Broadway Stn,1,   0  8,793237
0,SA,8690608,Broadway Stn,1,   0  2,793237
0,SA,8690609,Highlands Ranch via Broadway Stn,1,   0  9,793240
0,SA,8690610,Highlands Ranch via Broadway Stn,1,   0  1,793240
0,SA,8690611,Broadway Stn,1,   0  9,793237
0,SA,8690612,Englewood Station,1,   0  9,793232
0,SA,8690613,Highlands Ranch via Broadway Stn,1,   0  7,793238
0,SA,8690614,Englewood Station,1,   0  2,793234
0,SA,8690615,Highlands Ranch via Broadway Stn,1,   0 10,793240
0,SA,8690616,Highlands Ranch via Broadway Stn,1,   0  1,793240
0,SA,8690617,Highlands Ranch via Broadway Stn,1,   0  9,793240
0,SA,8690618,Highlands Ranch via Broadway Stn,1,   0  7,793240
0,SA,8690619,Englewood Station,1,   0  2,793234
0,SA,8690620,Englewood Station,1,   0  4,793234
0,SA,8690621,Englewood Station,1,   0  6,793234
0,SA,8690622,Broadway Stn,1,   0 10,793237
0,SA,8690623,Highlands Ranch via Broadway Stn,1,   0  9,793240
0,SA,8690624,Highlands Ranch via Broadway Stn,1,   0  3,793240
0,SA,8690625,Highlands Ranch via Broadway Stn,1,   0  5,793240
0,SA,8690626,Highlands Ranch via Broadway Stn,1,   0  8,793240
0,SA,8690627,Highlands Ranch via Broadway Stn,1,   0  2,793240
0,SA,8690628,Highlands Ranch via Broadway Stn,1,   0  3,793240
0,SA,8690629,Highlands Ranch via Broadway Stn,1,   0  9,793240
0,SA,8690630,Englewood Station,1,   0 11,793234
0,SA,8690631,Highlands Ranch via Broadway Stn,1,   0  4,793240
0,SA,8690632,Englewood Station,1,   0 11,793234
0,SA,8690633,Highlands Ranch via Broadway Stn,1,   0  3,793240
0,SA,8690634,Englewood Station,1,   0  4,793234
0,SA,8690635,Broadway Stn,1,   0  4,793237
0,SA,8690636,Highlands Ranch via Broadway Stn,1,   0  3,793240
0,SA,8690637,Highlands Ranch via Broadway Stn,1,   0  8,793240
0,SA,8690638,Highlands Ranch via Broadway Stn,1,   0  1,793240
0,SA,8690639,Highlands Ranch via Broadway Stn,1,   0  9,793240
0,SA,8690640,Highlands Ranch via Broadway Stn,1,   0  5,793240
0,SA,8690641,Highlands Ranch via Broadway Stn,1,   0  3,793238
0,SA,8690642,Englewood Station,1,   0  4,793234
0,SA,8690643,Highlands Ranch via Broadway Stn,1,   0 10,793240
